"US_ID","US_Titulo","TC_ID","TC_Titulo","TC_Estado","TC_Pasos"
"9502","Seguridad: Autenticación (DISTRIBUIDOR)","10049","Motorambar-Auth-Sesión-Sesión permanece activa durante navegación normal","Closed","6"
"9817","Vehículos: Grid de Registros Asignación en Lote","10283","Motorambar-Vehículos-Asignación Lote-Buscar más clientes muestra resultados con nombre y tipo de cliente","Design","1"
"9817","Vehículos: Grid de Registros Asignación en Lote","10284","Motorambar-Vehículos-Asignación Lote-Seleccionar cliente y confirmar asignación muestra mensaje de éxito y actualiza el grid","Design","1"
"9817","Vehículos: Grid de Registros Asignación en Lote","10286","Motorambar-Vehículos-Asignación Lote-Cancelar la asignación cierra el popup y mantiene la selección original de VIN","Design","1"
"9817","Vehículos: Grid de Registros Asignación en Lote","10282","Motorambar-Vehículos-Asignación Lote-El popup de asignación muestra la cantidad de VIN seleccionados y los clientes preferidos con su tipo","Design","1"
"9817","Vehículos: Grid de Registros Asignación en Lote","10285","Motorambar-Vehículos-Asignación Lote-Confirmar asignación sin seleccionar cliente muestra mensaje de validación","Design","1"
"9817","Vehículos: Grid de Registros Asignación en Lote","10287","Motorambar-Vehículos-Asignación Lote-El flujo de asignación en lote es claro y usable para un usuario no técnico","Design","1"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10238","Motorambar-Vehículos-Grid Nuevos Filtros-Los nuevos filtros son visualmente claros y usables para un usuario no técnico","Design","1"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10236","Motorambar-Vehículos-Grid Nuevos Filtros-Filtro Rango de Fechas usa un calendario y filtra por Fecha de Títulos con validación Desde-Hasta","Design","3"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10235","Motorambar-Vehículos-Grid Nuevos Filtros-Validaciones de Invoice muestran mensaje de error con caracteres inválidos o exceso de longitud","Design","2"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10666","TC-9856-1: Visualizar y buscar por nuevos filtros alfanuméricos (Invoice, Credit Letter, Sales Order) y combinación de filtros","Closed","4"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10237","Motorambar-Vehículos-Grid Nuevos Filtros-Regresar al grid conserva los filtros nuevos Invoice y Credit Letter aplicados previamente","Design","2"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10669","TC-9856-4: Persistencia y retención de filtros al navegar","Closed","2"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10234","Motorambar-Vehículos-Grid Nuevos Filtros-Buscar por Invoice y por Credit Letter Number filtra resultados correctamente","Design","2"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10668","TC-9856-3: Búsqueda y filtrado por rango de fechas (Fecha de Títulos) con un solo calendario y validaciones","Closed","3"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10667","TC-9856-2: Validar restricciones de entrada y caracteres no permitidos en filtros alfanuméricos","Closed","2"
"9856","Vehículos: Grid de Registros NUEVOS Criterios de Búsqueda Pantalla","10233","Motorambar-Vehículos-Grid Nuevos Filtros-Sección Más Filtros muestra los nuevos campos Invoice y Credit Letter Number","Design","1"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10626","[Asignación Automática] - Asignación a Dealer (Sin Banco)","Design","2"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10672","TC-9873-3: Interfaz de edición (Inputs Readonly) y cumplimiento de accesibilidad WCAG","Closed","2"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10628","[Asignación Automática] - Sin Dealer ni Banco (Sin asignación automática)","Design","2"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10671","TC-9873-2: Gestión de errores de asignación, trazabilidad e importación no bloqueante","Closed","4"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10627","[Asignación Automática] - Solo Banco (Sin asignación automática)","Design","2"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10629","[Interfaz] - Visualización de Inputs en Vista Editar","Design","2"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10625","[Asignación Automática] - Prioridad Banco sobre Dealer","Design","2"
"9873","Importación Vehicular: Localidades - Asignar automáticamente LocationId reconocido","10670","TC-9873-1: Asignación automática de LocationId y reglas de prioridad (Dealer, Rental, Banco, Credit Letter)","Closed","5"
"9892","Catálogos: Documentos - Portal de Distribuidor","10067","Motorambar-Distribuidor-Documentos-Categoría Factura de Distribuidor disponible en portal","Design","4"
"9892","Catálogos: Documentos - Portal de Distribuidor","10678","TC-9892-2: Validación de inconsistencias y categorías inactivas","Design","2"
"9892","Catálogos: Documentos - Portal de Distribuidor","10677","TC-9892-1: Sincronización, Mapeo y Prevención de Duplicados en Categorías de Documentos","Design","3"
"9892","Catálogos: Documentos - Portal de Distribuidor","10066","Motorambar-Distribuidor-Documentos-Categorías existentes visibles en Portal Distribuidor","Design","6"
"9892","Catálogos: Documentos - Portal de Distribuidor","10069","Motorambar-Distribuidor-Documentos-Categorías inactivas no aparecen en carga de documentos","Design","4"
"9892","Catálogos: Documentos - Portal de Distribuidor","10068","Motorambar-Distribuidor-Documentos-Sin categorías de nombre duplicado en el selector","Design","4"
"9892","Catálogos: Documentos - Portal de Distribuidor","10070","Motorambar-Distribuidor-Documentos-Listado de categorías legible y accesible en selector","Design","4"
"9940","Roles desde Motorambar","10086","Motorambar-Admin-Roles-Pantalla de gestión de roles muestra información de forma legible","Design","3"
"9940","Roles desde Motorambar","10084","Motorambar-Admin-Roles-Sección de roles disponible en portal Motorambar para gestión de usuarios","Design","3"
"9940","Roles desde Motorambar","10085","Motorambar-Admin-Roles-Asignar rol Distribuidor desde Motorambar y acceso confirmado","Design","5"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10206","Motorambar-Vehículos-Editar-Oprimir Cancelar regresa a la pantalla anterior sin guardar los cambios","Design","2"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10645","TC: Validación de modo Read Only en campos de previsualización (US-9947)","Design","5"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10207","Motorambar-Vehículos-Editar-Regresar desde edición conserva los filtros y criterios de búsqueda previos del grid","Design","2"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10204","Motorambar-Vehículos-Editar-Modificar campos permitidos y Guardar Cambios muestra confirmación de éxito","Design","2"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10203","Motorambar-Vehículos-Editar-Pantalla Editar Vehículo muestra datos precargados en las 4 secciones correspondientes","Design","2"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10644","TC: Validación de información precargada y secciones (US-9947)","Design","6"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10643","TC: Acceso a pantalla Editar Vehículo desde Detalle (US-9947)","Design","4"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10202","Motorambar-Vehículos-Editar-Acceder a Revisión Completa desde el grid redirige a la pantalla Editar Vehículo con el VIN correcto","Design","2"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10208","Motorambar-Vehículos-Editar-Pantalla de edición es clara, organizada y los campos read-only son distinguibles","Design","2"
"9947","Vehículos Revisión Completa: Grid Expandido o Individual  Click Revisión Completa editar y visualizar documentos","10205","Motorambar-Vehículos-Editar-Dejar un campo requerido del CO vacío muestra mensaje de validación y bloquea el guardado","Design","2"
